name,address,number_,geo_point_2d,latitud,longitud
001_GUILLEN_DE_CASTRO,C/GUILLEM DE CASTRO esquina con C/NA JORDANA,1,"39.48004223020643,-0.38292927973315827",39.48004223020643,-0.38292927973315827
010_CALLE_DEL_HOSPITAL_FRENTE_CALLE_HORNO_DEL_HOSP,Hospital - Horno del Hospital,10,"39.470816323984536,-0.38261041097634013",39.470816323984536,-0.38261041097634013
100_AVDA. BLASCO IBAÑEZ 9,Blasco Ibañez - Mestre Ripoll,100,"39.471634305646866,-0.33815025853445674",39.471634305646866,-0.33815025853445674
101_AVDA. BLASCO IBAÑEZ 10,Marino Blas de Lezo (estación Cabañal Adif),101,"39.47006829907817,-0.3343612466069016",39.47006829907817,-0.3343612466069016
102_AVDA.RAMON LLUL,Ramón Llull - Serpis,102,"39.47583332394092,-0.346720283882565",39.47583332394092,-0.346720283882565
103_RUBEN DARIO,Rubén Darío - Plaza Fray Luis Colomer,103,"39.47845333567255,-0.3523713017453889",39.47845333567255,-0.3523713017453889
104_ALBALAT DELS TARONGERS,Albalat dels Tarongers - Paseo Facultades,104,"39.478386332978474,-0.3472752845405608",39.478386332978474,-0.3472752845405608
105_AVDA. DE LOS NARANJOS,Aularios Universidad de Valencia,105,"39.47835119969391,-0.3443952655704271",39.47835119969391,-0.3443952655704271
106_AVDA. DE LOS NARANJOS,Albalat dels Tarongers - Professor Ernest Lluch,106,"39.47674432466283,-0.34138726522688073",39.47674432466283,-0.34138726522688073
107_C/ CAMPILLO ALTO BUEY,Campillo de Altobuey (Polideportivo),107,"39.47524531713643,-0.3362242490922528",39.47524531713643,-0.3362242490922528
108_ LUIS PEIXO,Luís Peixó 20,108,"39.47382619077011,-0.3339152679031098",39.47382619077011,-0.3339152679031098
109_AVDA. NARANJOS,Naranjos - Ingeniero Fausto Elio,109,"39.4768193210939,-0.3335102388084858",39.4768193210939,-0.3335102388084858
011_PZA_AYTO_CON_CALLE_COTANDA,Plaza Ayuntamiento - Cotanda,11,"39.47118632283677,-0.3767843903416451",39.47118632283677,-0.3767843903416451
110_KISSHOMARU,UPV Trinquet,110,"39.48074033571707,-0.33668024623462534",39.48074033571707,-0.33668024623462534
111_UNIVERSIDAD POLITECNICA – JUNTO PISTAS DEPORTI,UPV Galileo,111,"39.48066419504159,-0.3395082613341325",39.48066419504159,-0.3395082613341325
112_AVDA. DE LOS NARANJOS,Manuel Broseta i Pont - Naranjos,112,"39.47858033137406,-0.34227526701990957",39.47858033137406,-0.34227526701990957
113_ETS CAMINOS,UPV Caminos,113,"39.48127634089521,-0.3436112694462359",39.48127634089521,-0.3436112694462359
114_ADOLFO SUAREZ,UPV Informática,114,"39.4818043438759,-0.346591279156021",39.4818043438759,-0.346591279156021
115_C/ DR. VICENTE ZARAGOZA,Cataluña - Doctor Vicente Zaragozá,115,"39.481562345598135,-0.3521482985209469",39.481562345598135,-0.3521482985209469
116_C/ DR. VICENTE ZARAGOZA,Doctor Vicente Zaragozá - Ramón Asensio,116,"39.48325335356676,-0.3575613154471814",39.48325335356676,-0.3575613154471814
117_PRIMADO REIG,Gascó Oliag - Primado Reig,117,"39.47925133992885,-0.357065317141581",39.47925133992885,-0.357065317141581
118_C/ DR. GOMEZ FERRER,Gómez Ferrer - Álvaro de Bazán,118,"39.480466345728246,-0.3604163266878076",39.480466345728246,-0.3604163266878076
119_C/ JAIME ROIG,Jaime Roig - Bachiller,119,"39.48252035422283,-0.36322633473676447",39.48252035422283,-0.36322633473676447
012_CALLE_MINYANA,Calle Salvá - Calle Poeta Querol,12,"39.47196722343732,-0.3740102862977963",39.47196722343732,-0.3740102862977963
120_C_DR VICENTE ZARAGOZA,Doctor Vicente Zaragozá - Emilio Baró,120,"39.484880361257815,-0.36204632906281087",39.484880361257815,-0.36204632906281087
121_C_MURTA,Murta - Sant Eperit,121,"39.48618236435413,-0.35877131748144303",39.48618236435413,-0.35877131748144303
122_C_MÚSICO HIPÓLITO MARTÍNEZ,Músico Hipólito Martínez - Diógenes López Mecho,122,"39.48448535604776,-0.3540663028794564",39.48448535604776,-0.3540663028794564
123_C_ALBOCACER,Albocácer - Vinaroz,123,"39.487671371814656,-0.36484133609518726",39.487671371814656,-0.36484133609518726
124_C/ AZAGADOR DE ALBORAYA,Azagador de Alboraya - Dolores Marqués,124,"39.48850137319014,-0.3619553259600363",39.48850137319014,-0.3619553259600363
125_C/ MASQUEFA,"Masquefa, 42 - 44",125,"39.489693375775445,-0.3586183142345537",39.489693375775445,-0.3586183142345537
126_C/ ALFAUIR,Alfahuir - José Chabas Bordehore,126,"39.49309838788837,-0.36010431604895277",39.49309838788837,-0.36010431604895277
127_C/ DUQUE DE MANDAS,Alfahuir - Duque de Mandas,127,"39.49059138177909,-0.3644463333304693",39.49059138177909,-0.3644463333304693
128_C/ ALFAUIR,Alfahuir - Peñiscola,128,"39.48876637693274,-0.367544345093534",39.48876637693274,-0.367544345093534
129_C_ALMAZORA,Almazora - Benimuslem,129,"39.485975369089516,-0.3699453557741905",39.485975369089516,-0.3699453557741905
013_PZA. ALFONSO MAGNANIMO_CON_CALLE_LA_NAVE,Alfonso el Magnánimo - Nave,13,"39.4720623227334,-0.37087436964085335",39.4720623227334,-0.37087436964085335
130_C/ CONVENTO CARMELITAS,Convento Carmelitas - Alboraya,130,"39.483238360081586,-0.370210358642677",39.483238360081586,-0.370210358642677
131_CALLE SANTA AMALIA  2,"CALLE SANTA AMALIA  2, esquina POETA BODRIA",131,"39.48141722170027,-0.3729122732215235",39.48141722170027,-0.3729122732215235
132_C/ RUAYA,Platero Suárez - Milagrosa,132,"39.48528636793778,-0.3734343681182198",39.48528636793778,-0.3734343681182198
133_C/ ALFAMBRA,Alfambra - Poeta Monmeneu,133,"39.48275636079257,-0.37588237827023757",39.48275636079257,-0.37588237827023757
134_C/ MAXIMILIANO THOUS,Maximiliano Thous - Luz Casanova,134,"39.48765637635625,-0.37333936513208965",39.48765637635625,-0.37333936513208965
135_AVDA. CONSTITUCIÓN,Constitución - Reus,135,"39.48570237196362,-0.37850138478156414",39.48570237196362,-0.37850138478156414
136_CALLE_ECONOMISTA_GAY,Economista Gay - Constitución,136,"39.48994138447594,-0.37561037166808026",39.48994138447594,-0.37561037166808026
